stock_id,stock_name,stock_ratio,industry,group,stable_dividend,bad_PBR
1101,台泥,0.70,水泥工業,原物料,true,false
1102,亞泥,0.47,水泥工業,原物料,true,false
1303,南亞,1.97,塑膠工業,原物料,true,false
2105,正新,0.41,橡膠工業,原物料,true,false
2002,中鋼,1.22,鋼鐵工業,原物料,true,false
1402,遠東新,0.55,紡織纖維,傳產食品,true,false
1434,福懋,0.21,紡織纖維,傳產食品,true,false
9904,寶成,0.34,其他,傳產食品,true,false
1216,統一,1.48,食品工業,傳產食品,true,false
1227,佳格,0.18,食品工業,傳產食品,true,false
2633,台灣高鐵,0.35,航運業,運輸,false,false
2618,長榮航,0.22,航運業,運輸,false,false
2603,長榮,0.17,航運業,運輸,false,false
2610,華航,0.17,航運業,運輸,false,false
2353,宏碁,0.19,電腦及週邊設備業,消費電子,false,false
2377,微星,0.21,電腦及週邊設備業,消費電子,true,false
2357,華碩,0.51,電腦及週邊設備業,消費電子,true,false
2301,光寶科,0.34,電腦及週邊設備業,電子零件產品通路,true,false
2354,鴻準,0.27,其他電子業,電子零件產品通路,true,false
2385,群光,0.17,電子零組件業,電子零件產品通路,true,false
3702,大聯大,0.21,電子通路業,電子零件產品通路,true,false
2347,聯強,0.20,電子通路業,電子零件產品通路,true,false
3711,日月光投控,0.81,半導體業,半導體,false,false
2408,南亞科,0.57,半導體業,半導體,false,false
2303,聯電,0.49,半導體業,半導體,true,false
2344,華邦電,0.18,半導體業,半導體,false,false
6239,力成,0.18,半導體業,半導體,true,false
2317,鴻海,3.21,其他電子業,電子代工,true,false
2382,廣達,0.70,電腦及週邊設備業,電子代工,true,false
4938,和碩,0.41,電腦及週邊設備業,電子代工,true,false
2324,仁寶,0.27,電腦及週邊設備業,電子代工,true,true
2356,英業達,0.27,電腦及週邊設備業,電子代工,true,false
3231,緯創,0.21,電腦及週邊設備業,電子代工,true,false